PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,ID_MUNICIPIO,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Tema,Total de egresos,1161338232,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Capítulo,Servicios personales,711997975,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Remuneraciones al personal,326568884,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Dependencias diversas,326568884,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Remuneraciones adicionales y especiales,111279072,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,3400666,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",47238248,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Horas extraordinarias,19032409,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Compensaciones,27378530,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otras remuneraciones adicionales y especiales,14229219,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Seguridad social,60290813,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Aportaciones de seguridad social,40349108,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,13310299,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Aportaciones para seguros,6631406,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Otras prestaciones sociales y económicas,200600102,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Cuotas para el fondo de ahorro y fondo de trabajo,21055146,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Indemnizaciones,19184,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Prestaciones y haberes de retiro,7698248,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Apoyos a la capacitación de los servidores públicos,254985,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otras prestaciones sociales y económicas,171572539,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Pago de estímulos a servidores públicos,13259104,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Estímulos,13259104,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Capítulo,Materiales y suministros,98836396,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",4386551,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de oficina",1673839,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Materiales y útiles de impresión y reproducción,195854,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de tecnologías de la información y comunicaciones",1398865,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Material impreso e información digital,72218,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Material de limpieza,545852,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Materiales y útiles de enseñanza,499923,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Alimentos y utensilios,1404514,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otros alimentos y utensilios,1404514,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Herramientas, refacciones y accesorios menores",4245165,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Refacciones y accesorios menores otros bienes muebles,4245165,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Materiales y artículos de construcción y de reparación,42452853,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otros materiales y artículos de construcción y reparación,42452853,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Productos químicos, farmacéuticos, laboratorio y materias primas de producción y comercialización",5221522,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Productos químicos, farmacéuticos y de laboratorio",696379,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Subpartida Genérica,Productos químicos básicos,7863,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Subpartida Genérica,"Fertilizantes, pesticidas y otros agroquímicos",26066,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Subpartida Genérica,Medicinas y productos farmacéuticos,258833,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Subpartida Genérica,"Materiales, accesorios y suministros médicos",403617,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otros productos adquiridos como materia prima,4525143,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Combustibles, lubricantes y aditivos",32453113,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Combustibles, lubricantes y aditivos",32453113,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Vestuario, blancos, prendas de protección y artículos deportivos",8672678,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Vestuario y uniformes,4540094,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Prendas de seguridad y protección personal,3966788,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Artículos deportivos,165796,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Capítulo,Servicios generales,235482779,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Servicios básicos,98834723,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Energía eléctrica,67310890,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Gas,3478875,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Agua,24045569,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Telefonía tradicional,2869159,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Servicios de telecomunicaciones y satélites,866705,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Servicios integrales y otros servicios,263525,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Servicios de arrendamiento,1743885,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otros arrendamientos,1743885,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Servicios profesionales, científicos, técnicos y otros servicios",73644018,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Servicios de vigilancia,69193170,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Servicios profesionales, científicos y técnicos integrales",4450848,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Servicios financieros, bancarios y comerciales",10076625,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Servicios financieros y bancarios,43751,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Seguro de bienes patrimoniales,9521764,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Fletes y maniobras,511110,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,"Servicios de instalación, reparación, mantenimiento y conservación",17934328,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Conservación y mantenimiento menor de inmuebles,864918,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Instalación, reparación y mantenimiento de mobiliario y equipo de administración, educacional y recreativo",368293,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Instalación, reparación y mantenimiento de equipo de cómputo y tecnología de la información",241639,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Servicios de jardinería y fumigación,385466,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Reparación y mantenimiento de equipo de transporte,12573380,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,"Instalación, reparación y mantenimiento de maquinaria, otros equipos y herramienta",3291668,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Servicios de limpieza y manejo de desechos,208964,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Servicios de comunicación social y publicidad,26211,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otros servicios de información,26211,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Servicios de traslado y viáticos,2247950,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Servicios integrales de traslado y viáticos,2247950,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Servicios oficiales,10480002,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Gastos de orden social y cultural,5233600,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Diversos servicios oficiales,5246402,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Otros servicios generales,20495037,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Impuestos y derechos,2269966,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Otros servicios generales,18225071,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Capítulo,"Transferencias, asignaciones, subsidios y otras ayudas",45240840,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Transferencias internas y asignaciones al sector público,44791442,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,A instituciones del gobierno según función,44791442,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Subpartida Genérica,Instituciones y programas de asistencia social,44791442,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Concepto,Ayudas sociales,449398,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Partida Genérica,Ayudas sociales a personas,449398,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Alcaldía,2012,9,2,Egresos,Capítulo,"Bienes muebles, inmuebles e intangibles",19973780,Cifras Definitivas
