Year ,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2003,121197.634,399514.624,76047.593,1047511.322,436573.518,67732.93,248123.227,360426.663,2132929.372,152922.727,438354.387,182713.981,179553.378,794957.322,1048403.59,294468.306,158055.834,76105.196,803888.528,202963.936,395907.258,212106.713,144233.02,224280.267,268247.066,365533.727,374891.404,391574.439,83254.186,613590.201,161636.497,101406.31
2004,126554.147,423005.499,81546.009,1059561.025,449143.882,67794.051,238375.89,376662.637,2226949.736,157662.281,450953.155,192557.837,191549.579,819238.31,1073840.81,301021.642,159734.875,86879.422,849841.554,210757.192,405907.943,227917.275,156941.599,237464.465,284658.629,384484.325,391243.029,410112.746,89789.73,643859.491,169013.747,105664.685
2005,129628.028,433008.166,87397.67,1038533.775,458867.907,68258.171,240279.559,389210.794,2258091.583,155001.886,454625.559,195219.889,190073.779,842128.813,1099376.794,306026.395,171279.471,90269.847,885438.787,213677.217,428179.294,243311.19,163681.664,247240.388,285708.482,404881.254,421079.732,436490.981,79279.279,648906.398,176907.681,105661.441
2006,138111.823,456019.296,93655.622,1014280.35,480488.194,72533.785,248414.302,419631.539,2374722.886,160388.081,477646.929,199540.65,195404.535,886009.726,1150701.95,320451.426,168177.81,92165.697,946837.916,218023.575,447201.403,258448.271,174364.522,258649.446,294951.695,429625.189,445309.616,449609.24,77889.934,684557.368,185462.602,112108.368
2007,150305.117,461581.274,106199.426,947575.493,500478.657,77526.37,252536.304,434649.92,2408565.865,162709.802,488729.604,204879.83,201655.418,913139.834,1184658.428,328272.19,169325.362,91675.276,1004636.521,219815.363,465818.722,271622.051,192904.582,264315.631,305622.537,435397.343,454079.113,464007.812,79019.573,705608.578,191217.075,115935.139
2008,150949.983,457556.565,108975.356,867231.044,498326.775,78953.717,258289.89,440792.887,2450391.202,165722.989,503024.423,208284.821,208800.335,918573.456,1198144.35,334657.914,169672.507,98292.89,1020366.768,226633.787,468969.471,278348.405,203018.581,270024.005,316380.798,436717.189,475202.827,483350.662,83246.79,704314.03,193158.623,126383.577
2009,143253.947,407745.948,108338.811,780757.429,421327.489,76446.9,256698.362,401079.179,2362516.439,163083.647,481674.906,201239.316,195581.126,870319.1,1138727.918,317003.042,168348.348,93038.497,952725.778,224510.705,432578.676,270311.398,185671.746,255845.961,303066.175,410374.271,495944.159,439739.323,81739.53,688981.395,189365.458,130512
2010,152205.212,428162.546,110656.4,753968.591,489951.776,81992.178,270989.331,417796.42,2446910.439,169268.084,517168.681,211890.535,206303.584,925371.837,1226813.687,329767.26,174984.467,97786.134,1025184.258,228089.144,469967.84,287403.169,195148.828,269397.22,312655.113,431501.919,525011.917,448215.116,88809.886,718148.55,196149.981,144730.56
2011,158934.494,440700.662,114707.762,726503.856,523207.112,87944.969,279446.584,427430.027,2533806.893,176314.713,548163.17,214478.174,214569.188,953148.056,1283448.197,343275.664,174678.088,100704.16,1069812.268,234955.838,493353.224,308865.228,206053.849,283881.746,318762.638,471510.171,549751.131,456768.535,86031.739,746817.731,202893.85,144876.886
2012,167705.967,456024.472,117345.833,714787.065,549551.802,90540.289,284733.625,459166.22,2633934.642,182943.056,570921.987,218118.481,222797.005,995285.999,1339994.611,352030.387,175717.837,100800.218,1113817.766,239680.171,524226.058,318294.372,215709.871,297293.962,330191.387,495926.031,564003.811,466371.322,89918.601,779730.434,214700.599,148728.64
