CLAVE,Year,UE
1001,2015,38631
1001,2019,41446
1002,2015,646
1002,2019,910
1003,2015,1857
1003,2019,2021
1004,2015,320
1004,2019,352
1005,2015,3866
1005,2019,4434
1006,2015,1553
1006,2019,1808
1007,2015,1832
1007,2019,1924
1008,2015,280
1008,2019,376
1009,2015,348
1009,2019,523
1010,2015,281
1010,2019,330
1011,2015,894
1011,2019,1320
2001,2015,17600
2001,2019,19365
2002,2015,28341
2002,2019,29954
2003,2015,3248
2003,2019,3411
2004,2015,48033
2004,2019,52248
2005,2015,3569
2005,2019,4220
3001,2015,3380
3001,2019,3530
3002,2015,2517
3002,2019,2397
3003,2015,11395
3003,2019,12416
3008,2015,10804
3008,2019,13049
3009,2015,831
3009,2019,952
4001,2015,2989
4001,2019,3351
4002,2015,12811
4002,2019,13212
4003,2015,10248
4003,2019,10818
4004,2015,3273
4004,2019,3780
4005,2015,1066
4005,2019,990
4006,2015,834
4006,2019,906
4007,2015,295
4007,2019,363
4008,2015,391
4008,2019,450
4009,2015,2322
4009,2019,2361
4010,2015,481
4010,2019,536
4011,2015,846
4011,2019,968
5001,2015,34
5001,2019,30
5002,2015,4103
5002,2019,4612
5003,2015,783
5003,2019,780
5004,2015,374
5004,2019,476
5005,2015,71
5005,2019,73
5006,2015,840
5006,2019,1034
5007,2015,452
5007,2019,463
5008,2015,19
5008,2019,19
5009,2015,1840
5009,2019,1787
5010,2015,2360
5010,2019,2935
5011,2015,241
5011,2019,321
5012,2015,35
5012,2019,29
5013,2015,54
5013,2019,41
5014,2015,189
5014,2019,154
5015,2015,38
5015,2019,38
5016,2015,66
5016,2019,74
5017,2015,2745
5017,2019,2883
5018,2015,8674
5018,2019,9332
5019,2015,262
5019,2019,240
5020,2015,2204
5020,2019,2350
5021,2015,162
5021,2019,134
5022,2015,849
5022,2019,977
5023,2015,268
5023,2019,210
5024,2015,1312
5024,2019,1536
5025,2015,5427
5025,2019,5498
5026,2015,19
5026,2019,28
5027,2015,2493
5027,2019,3241
5028,2015,2281
5028,2019,2596
5029,2015,79
5029,2019,53
5030,2015,24179
5030,2019,26774
5031,2015,882
5031,2019,856
5032,2015,1437
5032,2019,1460
5033,2015,2455
5033,2019,2692
5034,2015,205
5034,2019,199
5035,2015,24615
5035,2019,26310
5036,2015,120
5036,2019,147
5037,2015,205
5037,2019,197
5038,2015,438
5038,2019,436
6001,2015,1185
6001,2019,1535
6002,2015,9988
6002,2019,10385
6003,2015,860
6003,2019,889
6004,2015,739
6004,2019,779
6005,2015,1046
6005,2019,1261
6006,2015,240
6006,2019,256
6007,2015,7951
6007,2019,8927
6008,2015,337
6008,2019,382
6009,2015,4778
6009,2019,5426
6010,2015,4562
6010,2019,5756
7001,2015,613
7001,2019,714
7002,2015,1331
