CLAVE,Year,agriculture,business_support,construction,entertainment,finance,hospitality,management,manufacturing,media,mining,other_services,professional_services,real_estate,retail,transport,wholesale,UE,micro_firms,small_firms,medium_firms,big_firms
1001,2015,4.4006109083378635e-4,0.029069917941549533,0.009551914265745127,0.012968859206336879,0.013227718671533224,0.14840413139706454,7.765783955890347e-5,0.09370712640107685,0.003313401154513215,1.2942973259817244e-4,0.17395356061194378,0.03339287101032849,0.0223654577929642,0.4061763868395848,0.0074292666511350984,0.045792239393233417,38631,87.93,10.38,1.17,0.52
1001,2019,6.031945181682189e-4,0.02099116923225402,0.01105052357284177,0.013222023838247358,0.01976065241519085,0.15762679148771896,2.4127780726728754e-5,0.09827245089996622,0.002847078125753993,1.2063890363364378e-4,0.17717029387636926,0.035491965449018,0.021039424793707476,0.39391014814457365,0.0070211841914780675,0.04084833277035178,41446,85.32,12.66,1.38,0.41
1002,2015,0,0.020123839009287926,0.0015479876160990713,0.017027863777089782,0.006191950464396285,0.15789473684210525,0,0.07894736842105263,0.007739938080495356,0.0015479876160990713,0.13622291021671826,0.0046439628482972135,0.009287925696594427,0.5294117647058824,0.0030959752321981426,0.02631578947368421,646,96.59,2.94,0.15,0.31
1002,2019,0.001098901098901099,0.016483516483516484,0.001098901098901099,0.027472527472527472,0.004395604395604396,0.16373626373626374,0,0.0956043956043956,0.0032967032967032967,0.001098901098901099,0.17252747252747253,0.00989010989010989,0.020879120879120878,0.45054945054945056,0.004395604395604396,0.027472527472527472,910,93.52,5.93,0.22,0
1003,2015,0.004308023694130318,0.023155627355950458,0.0010770059235325794,0.01992460958535272,0.011308562197092083,0.14862681744749595,0,0.10770059235325795,0.004308023694130318,0.003769520732364028,0.13947226709746904,0.01938610662358643,0.009693053311793215,0.4798061389337641,0.0032310177705977385,0.024232633279483037,1857,94.4,5.06,0.32,0.22
1003,2019,0.0029688273132112814,0.013359722909450767,0.002474022761009401,0.01682335477486393,0.010885700148441365,0.15338941118258287,4.948045522018803e-4,0.13805047006432458,0.002474022761009401,0.0014844136566056407,0.13310242454230578,0.022266204849084613,0.011380504700643246,0.46016823354774866,0.004948045522018802,0.025729836714497772,2021,91.79,7.77,0.25,0.05
1004,2015,0.003125,0.025,0,0.025,0.003125,0.1375,0,0.096875,0.009375,0,0.10625,0.0125,0.034375,0.515625,0.003125,0.028125,320,96.25,3.12,0.31,0.31
1004,2019,0,0.008522727272727272,0,0.02556818181818182,0.011363636363636364,0.16477272727272727,0,0.10511363636363637,0.005681818181818182,0,0.125,0.011363636363636364,0.03409090909090909,0.48011363636363635,0.002840909090909091,0.02556818181818182,352,92.61,6.82,0.28,0
1005,2015,2.586652871184687e-4,0.021210553543714435,0.006466632177961717,0.0173305742369374,0.007759958613554061,0.13838592860838075,0,0.15235385411277808,0.0018106570098292809,2.586652871184687e-4,0.1373512674599069,0.011381272633212623,0.01939989653388515,0.42136575271598553,0.013191929643041904,0.05147439213657527,3866,87.53,9.31,1.97,1.19
1005,2019,0.002480829950383401,0.014884979702300407,0.005638249887235002,0.013080739738385205,0.013531799729364006,0.14794767704104647,2.255299954894001e-4,0.16147947677041047,9.021199819576004e-4,2.255299954894001e-4,0.13554352728912947,0.012855209742895805,0.022327469553450607,0.38746053225078936,0.015561569688768605,0.06585475868290483,4434,82.7,13.4,2.48,0.77
1006,2015,0,0.025756600128783,0.0019317450096587251,0.019961365099806824,0.0103026400515132,0.1493882807469414,0,0.08177720540888603,0.003219575016097875,6.43915003219575e-4,0.15904700579523504,0.012234385061171926,0.026400515132002575,0.4822923374114617,0.0019317450096587251,0.025112685125563427,1553,95.11,4.25,0.45,0.19
1006,2019,0.00165929203539823,0.01327433628318584,0.0027654867256637168,0.019358407079646017,0.007743362831858407,0.17699115044247787,0,0.09513274336283185,0.00165929203539823,5.530973451327434e-4,0.16150442477876106,0.01327433628318584,0.027101769911504425,0.44966814159292035,0.00331858407079646,0.025995575221238937,1808,92.15,7.08,0.72,0.06
1007,2015,0.0016375545851528383,0.026746724890829694,5.458515283842794e-4,0.02019650655021834,0.007096069868995633,0.13973799126637554,0,0.09443231441048035,0.002183406113537118,5.458515283842794e-4,0.1359170305676856,0.016921397379912665,0.016921397379912665,0.5125545851528385,0.002183406113537118,0.02237991266375546,1832,94.98,4.37,0.33,0.33
1007,2019,0.0015592515592515593,0.013513513513513514,0.0015592515592515593,0.019230769230769232,0.011434511434511435,0.15332640332640332,0,0.09563409563409564,0.0015592515592515593,5.197505197505198e-4,0.14293139293139293,0.010395010395010396,0.016632016632016633,0.5072765072765073,0.0015592515592515593,0.02286902286902287,1924,94.13,5.41,0.26,0.05
1008,2015,0.0035714285714285713,0.010714285714285714,0,0.007142857142857143,0.0035714285714285713,0.22142857142857142,0,0.12142857142857143,0,0,0.08571428571428572,0.007142857142857143,0,0.5178571428571429,0,0.02142857142857143,280,91.79,7.86,0.36,0
1008,2019,0.0026595744680851063,0.015957446808510637,0,0.018617021276595744,0.005319148936170213,0.23404255319148937,0,0.125,0,0,0.09308510638297872,0.005319148936170213,0.013297872340425532,0.4574468085106383,0.007978723404255319,0.02127659574468085,376,89.1,10.64,0.27,0
1009,2015,0,0.02586206896551724,0,0.014367816091954023,0,0.15804597701149425,0,0.10632183908045977,0,0,0.11206896551724138,0.008620689655172414,0.0028735632183908046,0.5344827586206896,0,0.03735632183908046,348,98.56,0.57,0.29,0.57
1009,2019,0,0.019120458891013385,0,0.028680688336520075,0.0057361376673040155,0.17590822179732313,0,0.07648183556405354,0,0.0019120458891013384,0.14149139579349904,0.009560229445506692,0.019120458891013385,0.47609942638623326,0.0038240917782026767,0.04206500956022945,523,93.31,6.12,0.19,0.19
1010,2015,0.0035587188612099642,0.02491103202846975,0,0.014234875444839857,0.0071174377224199285,0.1494661921708185,0,0.09252669039145907,0,0,0.1423487544483986,0.0071174377224199285,0.010676156583629894,0.5302491103202847,0,0.017793594306049824,281,95.02,4.27,0.36,0.36
1010,2019,0.006060606060606061,0.006060606060606061,0,0.015151515151515152,0.012121212121212121,0.20606060606060606,0,0.08181818181818182,0,0,0.12121212121212122,0.015151515151515152,0.015151515151515152,0.503030303030303,0,0.01818181818181818,330,90.91,7.58,0.91,0.61
1011,2015,0,0.02237136465324385,0,0.013422818791946308,0.005592841163310962,0.16331096196868009,0,0.12080536912751678,0.003355704697986577,0.0011185682326621924,0.17002237136465326,0.007829977628635347,0.015659955257270694,0.43288590604026844,0.005592841163310962,0.03803131991051454,894,90.16,6.04,1.57,2.24
1011,2019,0.004545454545454545,0.013636363636363636,7.575757575757576e-4,0.012878787878787878,0.02727272727272727,0.17954545454545454,0,0.1303030303030303,0.0022727272727272726,7.575757575757576e-4,0.15833333333333333,0.006060606060606061,0.01893939393939394,0.403030303030303,0.007575757575757576,0.03409090909090909,1320,85.98,9.17,2.05,1.06
2001,2015,0.01090909090909091,0.022045454545454545,0.006818181818181818,0.01721590909090909,0.017272727272727273,0.11039772727272727,0,0.07068181818181818,0.004829545454545454,0.0014204545454545455,0.21426136363636364,0.03892045454545454,0.023125,0.41545454545454547,0.011306818181818182,0.03534090909090909,17600,87.1,10.62,1.68,0.6
