"CLAVE","Year","investment_capacity","financial_autonomy"
1001,2012,13.75,24.33
1001,2013,36.01,24.82
1001,2014,13.93,25.66
1001,2015,12.49,29.47
1001,2016,11.33,29.35
1001,2017,12.99,28.25
1001,2018,9.05,28.94
1001,2019,5.47,33.97
1002,2012,34.3,5.96
1002,2013,0,4.53
1002,2014,30.14,5.79
1002,2015,22.9,4.83
1002,2016,46.94,4.13
1002,2017,39.45,6.95
1002,2018,29.99,6.21
1002,2019,37.16,6.99
1003,2012,19.4,10.46
1003,2013,14.33,18.57
1003,2014,19.49,6.97
1003,2015,49.23,6.28
1003,2016,33.82,8.3
1003,2017,35.51,9.08
1003,2018,32.99,10.69
1003,2019,12.26,16.32
1004,2012,28.36,4.11
1004,2013,0,7.08
1004,2014,24.4,5.55
1004,2015,33.58,3.21
1004,2016,44.91,2.46
1004,2017,17.24,4.74
1004,2018,31.31,4.45
1004,2019,19.59,4.65
1005,2012,23.33,30.2
1005,2013,5.42,33.07
1005,2014,18.79,17.69
1005,2015,24.08,20.51
1005,2016,15.93,23.74
1005,2017,18.62,27.63
1005,2018,6.36,32.37
1005,2019,5.55,34.28
1006,2012,35.36,9.21
1006,2013,0.37,7.48
1006,2014,29.45,8.24
1006,2015,31.52,8.6
1006,2016,27.87,8.64
1006,2017,37.24,7.93
1006,2018,36.09,7.71
1006,2019,5.96,9.83
1007,2012,0,8.32
1007,2013,0,9.94
1007,2014,17.6,10.27
1007,2015,24.99,10.2
1007,2016,31.29,10.57
1007,2017,24.19,12.99
1007,2018,28.35,12.11
1007,2019,16.37,27.23
1008,2012,19.8,5.49
1008,2013,0,3.8
1008,2014,16.48,4.84
1008,2015,22.96,3.8
1008,2016,36.82,3.68
1008,2017,30.32,3.76
1008,2018,33.13,3.58
1008,2019,17.86,8.13
1009,2012,25.46,4.44
1009,2013,30.93,4.16
1009,2014,22.83,4.92
1009,2015,22.19,5.93
1009,2016,42.83,5.1
1009,2017,13.04,8.06
1009,2018,22.46,8.42
1009,2019,15.76,10.05
1010,2012,32.84,5.16
1010,2013,11.7,7.55
1010,2014,6.63,6.35
1010,2015,21.2,7.58
1010,2016,17.13,5.64
1010,2017,16.9,8.72
1010,2018,33.28,11.09
1010,2019,31.1,8.27
1011,2012,0,17.28
1011,2013,0,31.02
1011,2014,23.58,12.85
1011,2015,47.84,12.46
1011,2016,23.08,17.92
1011,2017,18.31,31.05
1011,2018,7.8,25.75
1011,2019,5.93,32.33
2001,2012,6.05,29.72
2001,2013,8.21,33.91
2001,2014,12.14,23.59
2001,2015,7.71,26.32
2001,2016,4.25,25.55
2001,2017,8.37,39.04
2001,2018,5.88,34.6
2001,2019,2.86,36.62
2002,2012,7.98,29.72
2002,2013,6.23,27.24
2002,2014,0.83,33.15
2002,2015,10.29,32.06
2002,2016,7.09,35.75
2002,2017,4.32,33.31
2002,2018,6.59,35.49
2002,2019,8.19,36.97
2003,2012,1.1,26.47
2003,2013,16.1,24.44
2003,2014,23.91,17.48
2003,2015,10.88,20.87
2003,2016,13.99,19.05
2003,2017,5.02,23.2
2003,2018,7.51,22.4
2003,2019,1.78,22.78
2004,2012,11.61,49.56
2004,2013,1.43,36.33
2004,2014,12.21,36.4
2004,2015,10.61,34.11
2004,2016,11.34,34.95
2004,2017,12.21,36.56
2004,2018,9.1,34.64
2004,2019,8.81,35.84
2005,2012,0,41.69
2005,2013,0,40.55
2005,2014,3.78,37.68
2005,2015,5.14,26.39
2005,2016,8,41.33
2005,2017,4.14,38.87
2005,2018,4.84,42.2
2005,2019,8.82,41.48
3001,2012,10.23,13.84
3001,2013,11.6,11.18
3001,2014,22.8,12.72
3001,2015,30.3,17.66
3001,2016,36.16,17.7
3001,2017,32.57,17.92
3001,2018,29.72,6.63
3001,2019,4.46,9.71
3002,2012,0,22.74
3002,2013,11.14,13.11
3002,2014,4.31,13.86
3002,2015,1.35,13.41
3002,2016,10.11,20.48
3002,2017,11.49,12.52
3002,2018,10.43,10.86
3002,2019,25.58,8.57
3003,2012,0,35.07
3003,2013,0,30.1
3003,2014,0,30.98
3003,2015,4.39,32.15
3003,2016,5.59,30.26
3003,2017,13.28,22.69
3003,2018,14.25,26.87
3003,2019,8.07,26.92
3008,2012,15.81,49.95
3008,2013,10.47,52.49
3008,2014,7.22,53.97
3008,2015,0.01,55.49
3008,2016,0.06,51.7
3008,2017,0.05,55.19
3008,2018,6.05,55.03
3008,2019,7.76,49.84
3009,2012,5.5,24.39
3009,2013,6.34,36.4
3009,2014,5.42,25.71
3009,2015,5.53,17.38
3009,2016,6.71,30.43
3009,2017,0.14,18.86
3009,2018,5.88,18.75
3009,2019,6.16,25.2
4001,2012,23.16,3.77
4001,2013,23.62,4.33
4001,2014,28.16,3.78
4001,2015,26.96,5.76
4001,2016,21.56,5.48
4001,2017,23.54,7.33
4001,2018,21.7,4.41
4001,2019,25.02,4.28
4002,2012,11.02,23.22
4002,2013,14.51,19.48
4002,2014,18.19,22.03
4002,2015,23.44,18.15
4002,2016,11.48,26.74
4002,2017,7.19,29.81
4002,2018,4.21,24.15
4002,2019,5.39,23.06
4003,2012,10.79,13.09
4003,2013,8.65,21.36
4003,2014,8.35,21.02
4003,2015,9.52,18.2
4003,2016,9.14,20.03
4003,2017,15.36,22.79
4003,2018,9.36,15.2
4003,2019,9.73,17.3
4004,2012,10.15,9.72
4004,2013,20.6,6.27
4004,2014,23.64,6.72
4004,2015,21.96,8.85
4004,2016,19.47,6.66
4004,2017,21.64,12.87
4004,2018,22.57,10.24
4004,2019,20.95,6.42
4005,2012,8.63,7.55
4005,2013,14.77,3.44
4005,2014,21.61,5.44
4005,2015,40.64,2.92
4005,2016,18.01,3.71
4005,2017,21.54,4.48
4005,2018,19.3,3.3
4005,2019,23.98,7.23
4006,2012,33.59,3.4
4006,2013,0,3.72
4006,2014,28.25,3.67
4006,2015,18.83,6.76
4006,2016,39.64,5.82
4006,2017,35.73,7.27
4006,2018,43.45,4.78
4006,2019,32,5.54
4007,2012,15.38,6.33
4007,2013,11.08,5.28
4007,2014,8.06,4.01
4007,2015,17.5,2.79
4007,2016,32.06,2.97
4007,2017,7.98,3.96
4007,2018,7.81,3.5
4007,2019,14.52,4.53
4008,2012,16.42,2.92
4008,2013,14.31,2.82
4008,2014,21.8,5.85
4008,2015,17.92,10.29
4008,2016,10.69,15.8
4008,2017,12.43,10.82
4008,2018,11.93,7.49
4008,2019,12.39,2.51
4009,2012,19.26,4.82
4009,2013,35.61,5.46
4009,2014,24.36,6.88
4009,2015,28.29,6.1
4009,2016,32.26,6.13
4009,2017,28.4,5.15
4009,2018,33.49,6.08
4009,2019,27.5,10.02
4010,2012,42.15,3.86
4010,2013,38.2,3.23
4010,2014,30.8,2.8
4010,2015,30.48,5.43
4010,2016,36.21,6.16
4010,2017,26.92,6.25
4010,2018,34.48,3.56
4010,2019,37.97,2.66
4011,2012,6.98,4.79
4011,2013,29.48,5.3
4011,2014,37.17,3.7
4011,2015,40.93,6.91
4011,2016,43.12,7.17
4011,2017,45.91,6.69
4011,2018,37.04,5.76
4011,2019,33.28,7.9
5001,2012,8.57,2.68
5001,2013,0,2.76
5001,2014,0,2.2
5001,2015,0.5,1.58
5001,2016,21.33,4.31
5001,2017,37.34,2.5
5001,2018,61.85,1.01
5001,2019,57.42,1.23
5002,2012,13.98,21.65
5002,2013,13.24,13.24
5002,2014,16.9,23.72
5002,2015,17.46,25.55
5002,2016,10.89,27.08
5002,2017,10.97,24.59
5002,2018,7.8,30.05
5002,2019,19.71,30.03
5003,2012,22.02,12.92
5003,2013,18.01,11.56
5003,2014,20.98,12.88
5003,2015,10.7,13.19
5003,2016,16.54,15.2
5003,2017,21.79,12.64
5003,2019,4.64,13.87
5004,2012,20.86,33.95
5004,2013,32.65,32.1
5004,2014,28.36,35.17
5004,2015,31.43,35.28
5004,2016,9.93,47.85
5004,2017,11.09,50.53
5004,2018,29.87,43.92
5004,2019,11.97,51.22
5005,2012,0.8,5.57
5005,2013,4.3,5.46
5005,2014,7.08,2.99
5005,2015,30.74,3.38
5005,2016,17.87,4.76
5005,2017,17,7.24
5005,2018,7.28,5.38
5005,2019,7.11,5.32
5006,2012,33.04,11.3
5006,2013,27.73,13.01
5006,2014,21.47,15.26
5006,2015,14.88,17.81
5006,2016,20.22,18.92
5006,2017,23.34,14.2
5006,2018,21.32,15.34
5006,2019,11.94,17.36
5007,2012,24.03,5.34
5007,2013,30.29,4.8
5007,2014,26.29,50.8
5007,2015,31.98,7.28
5007,2016,27.51,8.55
5007,2017,16.45,11.44
5007,2018,13.46,9.29
5007,2019,14.41,16.14
5008,2012,15.39,0.99
5008,2013,12.17,2.33
5008,2014,7.15,1.61
5008,2015,14.14,0.84
5008,2016,16.39,1.85
5008,2017,52.4,0.78
5008,2018,26.83,1.57
5008,2019,44.08,1.98
5009,2012,9.2,9.95
5009,2013,25.82,7.82
5009,2014,17.55,13.72
5009,2015,25.49,12.44
5009,2016,27.93,13.14
5009,2017,17.56,10.85
5009,2018,16.75,12.7
5009,2019,22.86,13.64
5010,2012,19.97,21.08
5010,2013,19.18,23.9
5010,2014,24.23,16.28
5010,2015,13.05,23.13
5010,2016,17.26,22.5
5010,2017,13.55,22.76
5010,2018,16.8,27.47
5010,2019,14.73,21.84
5011,2012,22.9,10.37
5011,2013,29.87,1.63
5011,2014,52.09,7.1
5011,2015,19.34,24.9
5011,2016,21.37,12.51
5011,2017,35.98,14.55
5011,2018,21.96,18.68
5011,2019,21.42,15.14
5012,2012,7.89,13.01
5012,2013,33.01,7.98
5012,2014,0,11.01
5012,2015,3.54,6.01
5012,2016,14.1,3.81
5012,2017,35.48,15.38
5012,2018,31.21,4.74
5012,2019,20.38,20.28
5013,2013,22.02,10.4
5013,2014,0,11
5013,2015,12.76,10.37
5013,2016,16.76,12.69
5013,2017,34.52,13.36
5013,2018,6.43,2.24
5013,2019,38.2,4.74
5014,2012,17.33,6.34
5014,2013,24.67,5.26
5014,2014,19,2.56
5014,2015,48.28,17.56
5014,2016,24.06,6.14
5014,2017,24.9,11.82
5014,2018,18.11,3.09
5014,2019,18.32,7.64
5015,2012,5.8,4.41
5015,2013,10.55,8.33
5015,2014,8.19,11.86
5015,2015,12.31,8.05
5015,2016,21.17,4.42
5015,2017,29.41,5.59
5015,2018,34.42,4.4
5016,2012,2.65,3.71
5016,2013,0,3.1
5016,2014,7.36,3.63
5016,2015,4.21,4.71
5016,2016,0,4.66
5016,2017,2.45,3.3
5016,2018,20.86,3.15
5017,2012,0,17.47
5017,2013,0,11.15
5017,2014,28.44,8.66
5017,2015,32.09,10.94
5017,2016,23.37,12.83
5017,2017,22.94,13.41
5017,2018,14.74,13.51
5017,2019,17.9,15.73
5018,2012,22.28,22.51
5018,2013,22.18,16.55
5018,2014,23.76,24.69
5018,2015,29.73,25.59
5018,2016,37.28,27.66
5018,2017,25.11,28.84
5018,2018,31.24,26.95
5018,2019,36.94,28.87
5019,2012,12.35,15.17
5019,2013,15.86,13.49
5019,2014,20.14,9.07
5019,2015,19.83,10.24
5019,2016,13.12,12.58
5019,2017,27.63,7.91
5019,2018,21.91,8.19
5019,2019,18.77,7.57
5020,2012,23.89,17.52
5020,2013,41.72,14.55
5020,2014,42.75,47.83
5020,2015,30.84,30.92
5020,2016,17.33,20.01
5020,2017,27.01,30.38
5020,2018,19.85,16.66
5020,2019,20.11,21.7
5021,2012,13.5,7.5
5021,2013,5.71,7.36
5021,2014,11.49,16.1
5021,2015,16.3,11.13
5021,2016,20.42,8.24
5021,2017,33.54,5.24
5021,2018,27.73,22.67
5021,2019,17.38,6.2
5022,2012,7.65,28.93
5022,2013,15.51,31.83
5022,2014,10.74,51.57
5022,2015,16.31,34.9
5022,2016,21.85,29.05
5022,2017,31.15,27.43
5022,2018,16.79,28.38
5022,2019,15.66,37.79
5023,2012,0,9.11
5023,2013,20.9,5.02
5023,2014,17.91,8.38
5023,2015,21.86,9.3
5023,2016,19.45,9.33
5023,2017,33.32,5.19
5023,2019,11.24,7.71
5024,2012,24.97,13.93
5024,2013,28.46,13.46
5024,2014,39.32,12.34
5024,2015,26.49,15.57
5024,2016,21.4,17.55
5024,2017,33.83,14.95
5024,2018,33.81,19.92
5024,2019,16.51,19.85
5025,2012,0,14.97
5025,2013,22.66,20.07
5025,2014,4.59,22.17
5025,2015,22.27,17.68
5025,2016,24.78,18.79
5025,2017,24.67,20.42
5025,2018,18.92,20.06
5025,2019,21.81,20.23
5026,2012,12.77,3.72
5026,2013,30.05,2.74
5026,2014,8.04,6.03
5026,2015,8.33,4.08
5026,2016,29.78,2.07
5026,2017,73.2,1.95
5026,2018,58.39,2.21
5026,2019,53.74,3.35
5027,2012,0,54.97
5027,2013,11.39,45.9
5027,2014,16.41,45.4
5027,2015,19.64,35.42
5027,2016,21.65,42.16
5027,2017,27.68,40.01
5027,2018,14.96,41.17
5027,2019,17.02,52.38
5028,2012,31.18,19.71
5028,2013,36.08,13.01
5028,2014,15.27,21.03
5028,2015,11.94,29.82
5028,2016,17.44,24.48
5028,2017,15.32,21.92
5028,2018,10.87,20.59
5028,2019,13.42,18.68
5029,2012,0,4.45
5029,2013,11.29,3.79
5029,2014,18.65,2.55
5029,2015,0,2.25
5029,2016,26.33,2.95
5029,2017,2.37,3.23
5029,2018,0,2.92
5029,2019,12.04,3.9
5030,2012,17.89,30.56
5030,2013,24.93,32.08
5030,2014,20.04,29.29
5030,2015,22.32,34.28
5030,2016,22.89,35.31
5030,2017,19.5,36.55
5030,2018,20.18,32.3
5030,2019,16.16,33.9
5031,2012,27.06,12.57
5031,2013,41.78,9.59
5031,2014,30.13,19.86
5031,2015,22.72,19.47
5031,2016,26.03,20.9
5031,2017,16.02,18.37
5031,2018,28.72,13.8
5031,2019,29,14.71
5032,2012,34.41,20.74
5032,2013,13.16,19.39
5032,2014,8.38,28.79
5032,2015,9.87,22.07
5032,2016,8.72,23.19
5032,2017,18.96,19.23
5032,2018,5.32,22.28
5032,2019,5.62,24.85
5033,2012,17.45,6.23
5033,2013,18.54,3.05
5033,2014,45.11,6.39
5033,2015,38.18,5.76
5033,2016,31.72,9.71
5033,2017,28.46,10.64
5033,2018,23.85,12.36
5033,2019,26.47,8.84
5034,2012,4.83,7.83
5034,2013,19.79,7.17
5034,2014,0,7.66
5034,2015,12.75,3.89
5034,2016,47.23,3.81
5034,2017,59.38,3.34
5034,2019,61.4,1.52
5035,2012,12.11,43.13
5035,2013,14.28,43.93
5035,2014,18.77,38.28
