CLAVE,Year,Homicidios,tasa
1001,2011,149,NA
1001,2012,112,NA
1001,2013,84,NA
1001,2014,139,NA
1002,2011,10,NA
1002,2012,11,NA
1002,2013,17,NA
1002,2014,10,NA
1003,2011,10,NA
1003,2012,5,NA
1003,2013,7,NA
1003,2014,12,NA
1004,2011,4,NA
1004,2012,4,NA
1004,2013,3,NA
1004,2014,5,NA
1005,2011,17,NA
1005,2012,19,NA
1005,2013,20,NA
1005,2014,21,NA
1006,2011,11,NA
1006,2012,12,NA
1006,2013,11,NA
1006,2014,9,NA
1007,2011,11,NA
1007,2012,9,NA
1007,2013,8,NA
1007,2014,12,NA
1008,2011,0,NA
1008,2012,1,NA
1008,2013,1,NA
1008,2014,4,NA
1009,2011,7,NA
1009,2012,5,NA
1009,2013,2,NA
1009,2014,9,NA
1010,2011,4,NA
1010,2012,6,NA
1010,2013,5,NA
1010,2014,9,NA
1011,2011,6,NA
1011,2012,6,NA
1011,2013,12,NA
1011,2014,16,NA
2001,2011,47,NA
2001,2012,138,NA
2001,2013,102,NA
2001,2014,152,NA
2002,2011,139,NA
2002,2012,194,NA
2002,2013,185,NA
2002,2014,186,NA
2003,2011,29,NA
2003,2012,47,NA
2003,2013,58,NA
2003,2014,48,NA
2004,2011,418,NA
2004,2012,362,NA
2004,2013,508,NA
2004,2014,704,NA
2005,2011,40,NA
2005,2012,48,NA
2005,2013,69,NA
2005,2014,63,NA
3001,2011,3,NA
3001,2012,9,NA
3001,2013,4,NA
3001,2014,5,NA
3002,2011,8,NA
3002,2012,16,NA
3002,2013,14,NA
3002,2014,11,NA
3003,2011,16,NA
3003,2012,22,NA
3003,2013,41,NA
3003,2014,65,NA
3008,2011,15,NA
3008,2012,30,NA
3008,2013,27,NA
3008,2014,25,NA
3009,2011,0,NA
3009,2012,3,NA
3009,2013,3,NA
3009,2014,3,NA
4001,2011,6,NA
4001,2012,3,NA
4001,2013,5,NA
4001,2014,7,NA
4002,2011,15,NA
4002,2012,23,NA
4002,2013,33,NA
4002,2014,23,NA
4003,2011,42,NA
4003,2012,37,NA
4003,2013,42,NA
4003,2014,41,NA
4004,2011,27,NA
4004,2012,19,NA
4004,2013,21,NA
4004,2014,20,NA
4005,2011,6,NA
4005,2012,4,NA
4005,2013,1,NA
4005,2014,9,NA
4006,2011,4,NA
4006,2012,10,NA
4006,2013,3,NA
4006,2014,3,NA
4007,2011,0,NA
4007,2012,2,NA
4007,2013,1,NA
4007,2014,1,NA
4008,2011,3,NA
4008,2012,2,NA
4008,2013,3,NA
4008,2014,3,NA
4009,2011,6,NA
4009,2012,10,NA
4009,2013,12,NA
4009,2014,18,NA
4010,2011,3,NA
4010,2012,3,NA
4010,2013,3,NA
4010,2014,6,NA
4011,2011,8,NA
4011,2012,14,NA
4011,2013,13,NA
4011,2014,16,NA
5001,2012,0,NA
5001,2013,2,NA
5001,2014,1,NA
5002,2011,24,NA
5002,2012,37,NA
5002,2013,25,NA
5002,2014,42,NA
5003,2011,6,NA
5003,2012,8,NA
5003,2013,12,NA
5003,2014,2,NA
5004,2011,10,NA
5004,2012,11,NA
5004,2013,15,NA
5004,2014,15,NA
