Year,CLAVE,Establecimientos,Transacciones,Sucursales,Cajeros,Operaciones,Terminales,Debito,Movil,Personal,Credito
2011,1001,5830,767420,95,462,1474587,6506,703675,301,797,207888
2011,1999,304,32396,12,54,267327,363,78614,16,30,21942
2011,2001,2141,556732,44,197,661822,2646,298006,44,333,92276
2011,2002,4453,1239055,116,516,1785642,5449,737221,116,870,187400
2011,2004,6937,1431335,182,864,2818049,8341,1240218,200,1570,280192
2011,2999,844,129418,20,91,336289,1047,144004,31,149,34101
2011,3001,237,50831,5,19,83061,302,38250,0,41,12180
2011,3002,145,22906,5,10,86661,218,33366,0,16,5483
2011,3003,2410,424793,37,135,491338,3010,236731,121,281,72684
2011,3008,3993,564135,47,180,410503,5289,201073,132,339,64698
2011,3999,164,15206,3,19,40617,226,7334,0,5,3626
2011,4002,1418,132628,30,139,482768,1672,220269,59,273,76600
2011,4003,1289,225224,29,117,533868,1620,210410,53,179,53669
2011,4004,62,4052,5,15,44502,68,21177,0,37,5831
2011,4009,42,3292,4,8,27810,52,19669,0,26,3353
2011,4999,64,3392,6,17,49531,67,26797,0,23,8494
2011,5002,361,72594,13,74,336457,413,119476,20,82,17123
2011,5018,1206,239882,30,94,510813,1381,221431,67,234,45300
2011,5020,127,98047,6,19,84673,153,28293,0,23,7280
2011,5025,641,118030,20,83,345271,710,142213,50,117,28493
2011,5027,255,50260,16,90,300160,291,76654,137,58,10543
2011,5028,232,46331,8,38,130488,260,43390,27,38,12323
2011,5030,3905,811238,90,411,1427031,4448,570171,448,773,423295
2011,5032,100,24391,8,12,66939,106,44085,16,55,9777
2011,5033,79,20550,7,19,81663,98,55742,23,31,15065
2011,5035,4854,1038872,91,317,1234630,5740,557491,226,976,173420
2011,5999,659,149750,31,148,579394,867,166704,8,172,48993
2011,6002,1773,207050,31,111,398769,2006,198474,52,318,70329
2011,6007,996,146595,26,88,324013,1215,148123,24,168,28955
2011,6009,240,22891,10,26,92188,290,75922,9,86,29323
2011,6010,311,66522,10,31,115881,364,70683,7,68,25847
2011,6999,63,12125,5,11,28788,75,22351,0,11,9654
2011,7019,384,30113,17,29,127191,425,80233,21,168,27633
2011,7040,58,3635,7,8,45182,72,35651,4,103,9891
2011,7059,44,6031,4,4,37601,43,19033,0,17,3564
2011,7065,133,19235,5,12,64925,175,38104,0,22,10309
2011,7078,774,69734,17,38,196551,849,95318,17,129,32240
2011,7089,1132,127999,32,92,447013,1325,226310,68,414,71665
2011,7097,78,9472,6,10,58251,90,39982,0,67,10569
2011,7101,3066,438523,69,255,1095622,3577,791522,180,733,192260
2011,7108,89,5056,7,9,71563,99,34894,2,68,13699
2011,7999,669,52106,72,128,524378,750,308675,28,418,100445
2011,8011,167,34624,7,8,42628,188,28030,5,30,18476
2011,8017,1066,168997,22,50,208272,1204,103504,11,165,30151
2011,8019,6106,1784139,130,522,1751075,7378,791259,280,1103,237339
2011,8021,819,173188,17,46,275440,957,91985,9,139,35623
2011,8032,554,108254,15,36,160307,678,74574,20,103,22634
2011,8037,3899,1285259,142,520,2795076,4855,1062342,248,966,216205
2011,8050,337,73618,8,18,125042,390,47373,26,62,12574
2011,8999,856,191277,33,85,347529,1009,150089,10,144,42535
2011,9002,2259,675843,67,236,1211495,2813,429584,149,516,184528
2011,9003,5572,1749693,135,336,1658841,6662,663855,315,1339,328196
2011,9004,2034,859604,70,135,499868,2600,458552,224,1971,78228
2011,9005,4838,997349,136,278,1733696,5532,980551,213,842,402622
2011,9006,1533,293842,52,118,680260,1752,516541,52,333,155063
2011,9007,4978,876746,175,304,2091247,5806,981444,145,948,437481
2011,9008,1034,192879,27,51,239244,1264,127831,51,203,73892
2011,9009,92,10006,7,13,82160,103,40910,1,80,20792
2011,9010,5131,2163274,165,420,1621907,7060,834113,632,6918,742958
2011,9011,483,32020,17,41,291800,548,171472,8,111,60286
2011,9012,4443,1310640,96,302,1374186,5907,1293198,804,1649,4761976
2011,9013,1089,124591,26,67,335874,1207,170026,20,305,86188
2011,9014,10321,3505775,204,554,5029941,12663,1932703,682,2622,359812
2011,9015,19717,5437006,297,2105,3726206,23894,3334303,759,14445,693735
2011,9016,10820,3622060,227,569,2015902,14388,1292311,1143,7406,380675
2011,9017,2516,618901,90,222,1044892,2985,373496,161,548,174120
2011,9999,0,0,0,0,0,0,0,0,0,0
2011,10005,2648,489062,51,161,759989,2967,424032,93,496,150083
2011,10007,1049,261837,34,101,533632,1251,220264,72,267,57302
2011,10008,42,5783,5,4,34222,52,20655,0,15,4449
2011,10012,121,32996,4,10,36694,146,29511,0,48,10609
2011,10032,87,19304,7,9,37413,95,24113,1,28,5291
2011,10999,231,39617,18,39,185239,298,95515,6,79,18690
2011,11002,130,15121,11,13,69426,146,60125,3,58,20088
2011,11003,815,100891,21,40,171813,939,66234,35,133,21845
2011,11007,1844,375158,59,159,714097,2153,373387,29,405,107838
2011,11014,224,21445,9,13,95471,248,52613,10,72,9084
2011,11015,663,119849,23,76,317397,749,168896,79,149,51044
2011,11017,1662,320464,52,139,647978,2001,306130,36,366,118128
2011,11020,10166,1348716,195,540,1810399,11221,994326,206,2678,302126
2011,11021,205,30721,12,12,51905,242,38812,2,61,20747
2011,11023,147,23197,12,24,85472,156,64209,0,55,19673
2011,11027,662,100408,28,66,323868,746,164451,13,150,34270
2011,11028,89,6991,6,10,62581,98,46143,1,48,6390
2011,11031,230,14504,19,21,95754,255,72801,9,114,25815
2011,11033,110,10782,8,14,78955,131,42503,1,41,9276
2011,11037,218,33071,13,54,268750,240,83462,17,80,18830
2011,11042,92,13861,10,12,62798,117,55726,0,38,12612
2011,11999,759,96415,66,123,610237,894,338611,2,250,89976
2011,12001,3403,589522,87,312,1056927,4295,546071,58,737,153055
2011,12007,22,2351,4,4,30191,29,18954,0,6,2906
2011,12029,668,94410,23,96,350480,731,379730,16,247,55090
2011,12035,377,53030,17,31,174875,460,104615,4,156,27144
2011,12038,902,103840,15,32,147676,1180,93588,9,159,28527
2011,12050,68,6217,5,9,60314,80,44039,0,54,6749
