inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,7,0.7475653290748596,2018-01
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,6,0.6407703161239624,2018-02
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,4,0.4271802008152008,2018-03
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,7,0.7475653663277626,2018-04
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,7,0.7475653290748596,2018-05
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,4,0.4271802008152008,2018-06
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,1,0.1067950502038002,2018-07
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,3,0.3203851580619812,2018-08
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,5,0.5339752435684204,2018-09
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,3,0.3203851580619812,2018-10
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,5,0.5339752435684204,2018-11
1,Aguascalientes,1001,Aguascalientes,1100,Homicidio doloso,3,0.3203851580619812,2018-12
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-01
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-02
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-03
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-04
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-05
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-06
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,1,2.0059778690338135,2018-07
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,1,2.0059778690338135,2018-08
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,1,2.0059778690338135,2018-09
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-10
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,1,2.0059778690338135,2018-11
1,Aguascalientes,1002,Asientos,1100,Homicidio doloso,0,0,2018-12
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,2,3.352385997772217,2018-01
1,Aguascalientes,1003,Calvillo,1100,Homicidio doloso,0,0,2018-02
